text,stars
"I don't get it.

I thought I would love it, because many of the restaurants I enjoy most are built upon a philosophy of local, sustainable, and seasonal ingredients which are treated with the respect and care they deserve. All the recommendations I've had from my Cleveland friends told me that The Greenhouse was such a place, and one that rated visiting on one of my too-rare stops in Cleveland. Yet the experience was - and this is the only word to describe it - bizarre. 

Their rendition of a Cleveland standard, stuffed bacon-wrapped dates, was stellar, but from there the meal descended into chaos.  Was the Greenhouse was going for the 'greenest' of cuisine, minimalist dishes where the ingredients saw as little preparation as possible, or more of a stylized, structured 'haute' cuisine? We couldn't tell, and neither really worked. The appetizer of roasted peppers with smashed garlic was an example of the former - the two main ingredients were simply treated and mixed upon the plate, the garlic somewhat in and out of its paper, which stuck to the moist pepper skin, making for a ridiculous looking plate and an unpleasant eating experience.   The 'Mushroom Bear Claw' - a cinnamon bun like roll of mushrooms in puff pastry -- arrived looking stunning amidst the rich miso broth it sat upon. While the pastry was good and the stuffing tasty, the miso was both so acidic and so salty that it ruined the dish by overpowering the delicacy of the woodear mushroom filling.  A main course of white bean polenta, Lee Jones vegetables, and tofu occupied the opposite end of the spectrum - that food had been tortured into a structured submission by the chef:  the excellent seasonal vegetables had been tourned (properly, I should note), and placed next to tofu and a perfectly square polenta cake. The highly stylized dish was an odd followup to the minimalist pepper appetizer - and why, if you are showing off the quality of your ingredients, touting Chef's Garden as a supplier, would you tourne them?  The dish might have been fine were it not for the brine that the elements sat in. My date tried to eat just the top of the excellent polenta as that which had soaked up the extremely salty broth was inedible.  My entrée, the Duck Pasta, was supposed to be duck livers and craklins, roasted red onion, and local apples with a cavatelli-like pasta and toasted bread crumbs. The pasta arrived limp and overcooked, with none of the other ingredients discernable - supposedly they must have been the spaetzele-like brown crumbs that coated the pasta. Or was that the breadcrumbs? Or were they ground into the sauce on the pasta? We had no idea.  It seemed to be another rather stylized dish that might have been just sub par were it not for - again - an incredible amount of salt that rendered it truly unpleasant.. Unlike my date's main course, this could not be salvaged by selectively eating parts. After my date agreed, we asked for the check.

Good points: Our server had an excellent (albeit slightly overzealous) knowledge of beer, and recommended to my date a selection that she really enjoyed. They also handled our dissatisfaction well, by removing some items from the bill and offering free desserts (which we declined, as we wanted to leave and find something else to eat).

If I lived in Cleveland, I would go back again as our experience defies everything I have ever heard about the Greenhouse, but as a visitor who loves Cleveland's culinary scene, I'll be looking to other restaurants when I next return.",1
"I had the pleasure of being on this side of town and I wanted to get something to munch on.  Alas, saw this shop on Hot and New, so gave it a shot and the rest is history.

From the outside, it looks like your normal donut shot, but from the inside, it is very, very different.  I noticed the bamboo-like counter and stainless steel first.  It's not your typical set up for donuts.  Inside, the ceilings are high and the decor is very modern, yet minimalistic.  The floors are concrete, which adds as nice touch.

The donuts here are what I came here for, so lets get started.  First off, my eyes were immediately drawn the the cereal topped donuts.  I saw fruity pebbles, captain crunch, cocoa puffs, fruit loops, lucky charms, cinnamon toast crunch, and from the looks of it, this is genius, mixing breakfast cereals with donuts.  A win-win situation.  I had the fruity pebbles donut and it was delicious.  The donut itself wasn't sweet at all and what I noticed about all the raised donuts is that they are considerable raised higher than other donut shops.  This can only mean they use quality ingredients in their donuts.

I also appreciate the fact that the owner was able to help me decide on what donuts to get and didn't rush me.  They also have apple fritters that I will hopefully try next time and an array of other donut classics and some that are a twist to your typical fare.  There is much more planned for this donut shop and I can't wait to see what happens.  

They also have smoothies, coffee, and croissants.  This shop just opened as well, and wishing them a lot of success in the future.  By the way, it's right next to Kyoto Bowl.",5
"This place is OK. I like the choice of dipping sauces and sides over a simple menu at other chicken places. Customer service could improve. Also, the decor inside makes me look over my shoulder waiting for Tammy to walk in.",3
"After a ton of rave reviews from close friends, I stopped by this summer and I'm hooked. I love the taro drinks with fresh taro- the flavor is perfect. It's not super close to me but if I'm in the area, I make a point to stop because their drinks are so good. The service is great and even when it's crowded, the drinks come out really fast!",5
"Visited this KFC on August 18, 2015. I must have bad luck when I go there. This time I was missing an item from my order. Disappointed needless to say. The question is does management really care.",2
"Service was awesome!  Gabriela greeted us, but Carmen was our server and she was very knowledgeable of the menu and recommended the Pasta Brava.  We also had the empanadas de camarón, and shrimp tacos.  They have live music on weekends so it can get a bit loud.  I think we got there after the rush so it was perfect.",4
"The staff is always so welcoming and friendly. The bundts are the moist, delicious, fresh tasing cakes I have ever had. The frosting is very sweet but perfectly compliments each flavor. Lemon and white chocolate raspberry are my favorite but there isn't one that I've tried that I would turn down. These make great house warming gifts and a treat for anyone you may be visiting. Everyone is always thrilled to receive them. I prefer this instead of a traditional birthday cake. You won't be disappointed.",5
"If there is a more perfect pizza, I do not know what it would consist of: Slice on Broadway provides a pie with a delicious crust, cheese, and sauce, and the tables include containers of grated cheese, pepper flakes, and fresh oregano.  The staff is generally pleasant and accommodating and works well under pressure during busy times.  At $17 for a large plain pizza including tax, the product is not overpriced and offers value by ballpark standards.  The young gentleman who appears to be the manager is always welcoming and gracious to me and my companions.  I miss Slice on Broadway during the Pirates offseason and the restaurant makes my visits to the ballpark much more enjoyable: bravo!",5
"I generally love Divine Threading. It's close to home, comfortable, affordable, and consistent. However, WHERE'S SARA?? I've been coming in for a few months and my brows look best when done by her. I went in a few days ago and was informed that Sara no longer works there. Does anyone know if she transferred to a different location?",4
"To call this company ""professional"" is a huge exaggeration.  I've had 2 houses cleaned, one that was cleaned twice because what was specifically supposed to be done was NOT done.  Because Matt was so nice over the phone, I gave them a second chance.  HUGE mistake.  Learned my lesson.  I don't know who thought these people how to clean, but none of the ""cleanings"" we received could hardly be considered acceptable.  I'm so disappointed in how things were handled and honestly shocked that this place is still even in business.  Run.  Run FAR away from
this company.  Save time and money and clean yourself.",1
"Unfortunately I decided to opt out of takeout and actually dine in for once. Big mistake. I always get to-go food here and it's consistently fair to middling. The same or less can be said for my food tonight, I had the lotus roll which has spicy tuna inside among other ingredients, but there was no spice at all. Pretty flavorless on the whole. But, the thing that really put me off of this place was the service. It was 845 pm, just got out of yoga and needed food and possibly a drink... Head to the bar where I'm greeted with a super unfriendly bartender who- right off the bat, instead of hello, I get a bristly l ""do you need a drink menu?""... Maybe she had been having a bad day? She was somewhat helpful selecting the sake I ordered. She was on her phone/computer the whole time, didn't smile once and honestly made me slightly uncomfortable, I felt as if I was a burden. I definitely won't be back to dine in.",2
"I needed a quick fix on an old vacuum ....
These guys fixed it fast and cheap ...
They fixed my vacuum in 15 minutes ....
Fast great service !",5
"Like this place, the staff is nice... it's a good place to chill but of course there are still room for improvement.",4
Good basic Chinese food. Lunch special is good including tea for under $5. Doesn't include eggroll though.,4
"Ever since Penguingate I've been so ready for the Diamond to open.  And then it did.  And due to transportation issues, I couldn't go.  Not until last week!  Despite lots of interaction with the twitter (they #FFed me!  *tear*  true love!)  and staring moodily and jealously at my friend's frequent foursquare check-ins, i just COULD NOT manage a way to get myself in those doors.  And then I did.  

I'm actually glad I wasn't able to come for so long because it seems like they're really in stride now, as opposed to the early hiccups that come from being a super-hyped, newly opened restaurant in a fiercely loyal neighborhood.  I heard about all the kinks and wrung my hands with worry...but I think we're okay now.  

Immediately upon entering my friend and I were summoned to the bar for hugs...we knew literally every person sitting there, including the hostess and a few of the waiters.  It being a monday night, it wasn't super crowded and we got our table lickety-split.  Of course I had to try the small block and the fried pickles first...duh.  

And they did NOT disappoint.  Everything I loved about the Bird's burger, yet somehow even better than I remembered!  Maybe it's because I chose to love them before I even tried the food, most likely it's because it's just that good.  The fried pickles were also just as I remembered them.  I can't wait to try the new stuff, now, particularly the po greek boy and the crab dip.  

Also, despite hearing a lot of stories about super long waits, our orders were taken and the food was brought out super fast.  

Great prices, great food, great atmosphere, great people, great location...this really deserves it's WOOHOO!  As good as it gets!  review from me.  I'll be back.  I may move in.",5
I absolutely loved prepared food. Wonderful place! Beautiful! Excellent selection. Amazing deserts and coffee. Great service. Absolutely five stars!,5
"French fries were amazing!!! Drinks are spot on! 

We had the bbq chicken pizza and the meat lovers, both were awesome!! 

Friendly staff, and quick service!",5
"This was the most disappointing display of hospitality! The drinks were bad from start to finish - I've never left a bad review btw - food was ok - it took 30 minutes to get a drink, like every time u spoke to the waitress, you knew it was going to take 30 minutes till she came back. This is across from an event center!!! They should be prepared and trained for Saturday nights! And it's atleast 3 years old.",1
"I love this store.  It is always clean, the employees are always friendly, and the prices are very comparable to Wal-Mart. There are always ample checkout lanes open so the wait is not long, and the selection is very good!",5
"2.5 stars but I'll round up because everything in Vegas is pricey. 

The atmosphere about this place is cool.  So for those tired of going to upscale Vegas restaurants, this is a good place to chill and drink some frozen margaritas and relax.  Especially a good way to get out of the Vegas heat.

Order the Carne Asada tacos and it was nothing special.  Tacos were a little small but it was good.   But its no way it should be 17 dollars.  Anywhere else and this would be a taco plate appetizer.  Grabbed some shots of tequila that were $11 dollars as well.  Overall just a meh experience. 

Again the 3 stars is generous because everything in Vegas is high.  And our waitress was really cool.  But otherwise it would be more towards that 2-2.5 range.",3
"The food tastes great... However, as I walked in there's only one lady at the front ringing in orders and answering phones. The line is to the door. I tried to call our order in before I left work but phone lines were busy or disconnected so we had to place our order once we got there.  We finally got to the front and ordered our food at 12:05. We received our food at 12:46, after I asked where it was. (There were about 30 people waiting for their food at this point )  They didn't even have our order, they found half of it but had to make my husband's. After receiving our food mine was not even hot anymore because it had been sitting out. I also had to leave to go back to work and left my husband eating alone. I got an apology but it ruined my lunch. I wouldn't recommend going here on lunch break. Food is good but not worth the trouble.",2
"I expected to much of this place I guess. It was super loud (every single time someone comes in, leaves, or comes in to got to WC from the patio they YELL bunch of things in some sort of asian language). Gets a little annoying and very hard to have any kind of conversation with your partner at the table.

Very expensive for the amount/portions. Left around 55$ for two people and none of us were full. Pretty much 55$ for a beer and 2-3 appetizers. The black cod was very good but VERY SMALL and costs almost 20$.

Will not come back not worth it at all. Like - regrets are real.",2
Went in to replace a pair of running shoes that I had for 5 years. The 2 ladies working there were great. They were busting my chops (along with another male customer) the entire time and made the entire experience very pleasurable. It is obvious that they enjoy their jobs and it makes shopping here a very pleasurable experience.,5
Breakfast sandwiches over in the deli are only $2.49 from 7am-10am and are soooo delicious! The girl at the counter was super nice! Starbucks crew is awesome! Great store!,4
"The Original Nello's -- Established 1983 -- has been serving by far the best pizza. And it's not just the pizza, it's the whole menu. Salads with famous house dressing, Italian spaghetti and pasta, garlic bread with Italian ""Margarita"" pizza topping, sandwiches, oven baked barbecue chicken wings, and a selection of wine and craft beer.

Jack Salley
Mesa, AZ",5
"I have been coming to this business for a few years now. I have to say, I couldn't have found a better business to help me with my weight loss! The staff has always been friendly and they always call me by my name when I walk in.  If you're looking for a friendly, comfortable weight loss office ( that is non judgmental and extremely sensitive to your needs ) then look no further. Premier Physicians is the Number 1 place in Las Vegas!!!!! P.S., I recommend Jonathan if you are a male seeking treatment. He is an amazing physician who is very knowledgeable. Thank you Premier Physicians",5
"I have had the cookies as a snack, given them as corporate gifts and had other products from them at my daughter's wedding. Love the cookies, love the shop, love the service. Once I asked to use my AMEX and it was explained that because of fees they don't take AMEX. Guess what I did...chose another form of payment. No big deal. This is truly a gem in the heart of Old Town Glendale.  If you have a chance, stop in for a treat!",5
"This place is fantastic, both the restaurant and the store. Everything is so fresh and cooked to perfection except the oysters!!!! We have been here many many times and will keep coming back.",5
"Thank you guys for accommodations
All my family was super happy and felt great.
We will Defenitly come back again.",5
"Two stars includes the very nice waiter's service. Other then that, it would of been a star, star and half top!

We came on a Sunday evening, we're on vacation. I made sure by calling them to ask if the fish is fresh of the day or not. The reason why is that they were going to be closed for the next two days and that i wanted to be sure they weren't going to be serving us leftover seafood. The person on the phone assured me that it's always fresh from the day and that they are ""used"" to being opened on Sundays. ""Do not worry 'mam. You will not get food poisoning!"" Ok 

There was total six guests including my husband and I. Slow night?! Plus, we had to wait about 30-40 minutes in between services. I also saw the sushi Chef running around like a headless chicken at one point. Was he the only kitchen staff? Anyways let's just get to business. 

We got:

Signature house cocktail. Very good and original. But small drink and expensive! 

Miso soup
Vichyssoise soup
Tuna tartar ""cappuccino"" entrée
A sake bomb entrée
The maki plate assortment
The ""chef d'oeuvre"" plate assortment
Molten chocolate cake
Crème brûlée duo. 

The soups were ok. My main concern was my entrée the tuna tartar with it's viscous, slimy weird tasting foam. The tuna was FAR from fresh. I had a hard time swallowing it. At one point i just wanted to run to the bathroom or just spit it out! It was THAT bad! Felix hard ordered the beef tataki but they didn't have it so they offered him the sake bomb. A fried rice ball with salmon. It was ok. Sushis now. We got a total of 30 pieces and ended up eating about 8-9 pieces total! Those pieces didn't have raw fish in them. The ones with the raw seafood were ""weirdly different"" then what we are used to. The freshness wasn't there! The only success from the evening was the desserts. They were surprisingly delicious! Thankfully the waiter was very nice and attentive! But was it because we were only six??? 

I would NEVER recommend anyone to go there for sushi. Perhaps the french bistro side is better. I will never know because i will NOT be coming back. The concept is original but i don't think that French cuisine and Japanese cuisine mesh well together.

We both got upset stomachs...",2
My only criticism is that it's a little pricey and hard to get into or get reservations. Otherwise a great late night snack or pre-theater dinner.,4
"Usually a Morton's guy but my son wanted this for his BDay & I hadn't tried them yet....very good food, from apps to dessert we were quite satisfied! A couple notes: the lobster bisque was a bit watery but still tasted great...my filet was more medium well than medium...other than these minor issues the food was great! Now I have to mention the reservation issue...I reserved a table online, received confirmation AND a phone call to confirm...OK, done...when we get to the greeter they didn't have our name?!!?! I was told they had us down for the next day...ok, your fault not mine...they sat us down & everything was fine...I even got a cancellation message for the reservation I didn't make??!! Again, minor stuff for what was a great night out!",4
"Still looking for a solid taco place. I had high hopes for this place. Although it was good, it was not great. I am a huge fan of tripa, buche, and lengua tacos all of which were delicious! Only downside is they are a bit greasy so the tortilla falls apart and hard to eat. The plus is the tortillas are hand made corn tortillas. The carne asada was not seasoned so it was a bit bland. I will for sure come back.",3
"This was my first visit to the newest Las Vegas Trader Joe's location.  It's in Downtown Summerlin, which is new enough and far enough west that parking is still abundant.  Once the rest of the shopping center is fully occupied, parking might be more of a challenge.

This location feels much larger than the Henderson and Decatur locations I'm used to.  I was just in time for the first shipment of the seasonal dried mandarin orange slices.  But my usual purchase, the mini cocoa batons, was out.  So were the butter waffle cookies and butter almond thins, the most popular items that Hawaii visitors buy to take back.

The staff are as friendly as I've come to expect from a Trader Joe's.  I was asked twice if I could use assistance as I went through the store.  Those who answered my questions did so happily.  Checking out was quick and efficient.",5
"Beware using technology like websites and email with this company!!!

I would say you should call, or maybe send a carrier pigeon or something that they can handle better than today's advanced technology.

Unfortunately I never got to find out how they were in an actual move because there were 2 different times when they supposedly didn't get what I submitted (both via the website and through email.)

I ended up moving my furniture in near record breaking Phoenix heat with the help of my parents who are in their 60's because they couldn't manage to set up a move for me.

My recommendation would be to make sure you either do things by phone to confirm that they have in fact received the information you have attempted to send, or to ask for a return email to verify receipt of your message. If you haven't heard back in a few hours, send another one and another until they respond. 

The first issue was with the website. I filled out the ""Inventory Form"" and hit ""Submit"". It then kicked me back to the company's home page, so I figured that was what it does when the form is submitted. I waited and waited. Several days later I emailed Lynette asking what the status was. She said she never received it. Awesome. Evidently the website didn't work properly, but there was no indication of that to me. So...if you hit submit, just know that you should get some kind of notification. I did it again and it worked. Gave me sort of a summary of what I sent so I could keep a record. That's nice, but when it doesn't work, there's no way to know that it didn't work.

The second issue was through email. I was back and forth a couple times with Lynette after the first issue, so I knew she normally responded promptly. I emailed to confirm that I wanted to schedule the move as quoted and asked at the end what my next step would be. Didn't hear back for a couple days. So I emailed again to ask about the status and again...she says she never got it. Well...it was sent via ""Reply"" on my side to an email that she sent me. It's in my stream of emails and shows that it went through so I don't know what happened to it on her end. 

What I DO know is that by the time I emailed to inquire, they had booked up the time that had been quoted to me and she said she didn't have any dates available until a week after I have to be out of my place. She did add that she could do July 4th weekend but it would be at a higher holiday rate. I have to be out by June 30th, so even at a higher rate, I couldn't even consider that. 

You would think that maybe if you gave out a quote and hadn't heard back from the customer, before you book up the time slot you quoted for, you might call them and ask if they still needed it? That might be a great time to find out that you aren't getting emails that customers are sending for whatever reason. 

But I guess that would take 2 minutes so I guess that's an absurd idea on my part. Yeah...just book the time to someone else. The person who filled out the entire inventory sheet and did all the steps up to the part where you confirm and request a credit card number...that 34 year old chick who lives alone probably doesn't really neeeeed a mover. Maybe she was just throwing the idea around and changed her mind...decided to move her own furniture by herself in 115 degree temperatures. That's probably it. 

All those good reviews are nice. I wish I would've gotten to find out what a great job the movers could do, but due to more than one clerical error I didn't get to the actual moving phase with them.",1
"This is the best Mexican food I have ever had in the U.S.  Maybe even in Mexico. I have been looking for a place that doesn't just serve Border food.  If you want something different and exceptional go to this place.
The food is not only delicious, its really special and makes you want to come back.  The servings are large which means you can take some home.  The deserts are so good, that you really feel guilty.  The service is amazing.  I felt like I was in Heaven and would highly recommend this place.  The manager Geoffrey gives special treatment to each of his customers.  You can sit outside on the patio if you want.  I tried both.  I loved being inside and cant wait to go back.  I really mean that.  Its about time that that we have authentic food here in Scottsdale.",5
Was in Cleveland recently because my son was having surgery at the Cleveland Clinic.  The Fairmount was walking distance from our AirBNB;  this place turned out to be a wonderful find!  The drinks were great; food was delicious; and the nicest servers we have dealt with in a long time.  Truly a great place for us to unwind after long days in the hospital; and a real neighborhood gem.,4
"The sandwich was good, however it better be for $10 and that doesn't include a drink.  I asked directions to a washroom and they said they didn't have one.
The man at the counter said I had to use the one across the road at ST.Mike's Hospital......WTF.",2
"I went here on a Tuesday afternoon for lunch since I was in this area. I went here based on the review and as well as wanting to try Indonesian food which I have never had. It was a friendly clean dinning place with tables and booths to sit at. I sat at a booth and looked over their menu that had sushi options, noodle options, rice options, and also their special Indonesian menu. I started with their spring rolls as their appetizers. It came in pieces of four with a dipping sauce. I am not a big fan of sweet dipping sauce with my spring rolls but this dipping was very delicious. The spring roll itself was warm, crispy and had alot of flavor. For dinner I ordered their Pad Kee Mau which was a stir fry noodles with chicken and shrimp, Padangnese Rice which comes with rice, curry, kale curry, egg and with the choice of beef or roasted chicken. I choose roasted chicken as my protein and I'm so glad I did! I also ordered the Hibachi sandwich with beef which i thought was really interesting. It came with fries! Overall the Pad Kee Mau was very flavorful and tasty. The noodles and the meat was cooked perfectly. The Padangnese Rice was a very unique dish I have ever had. It had so much flavor, taste, and tenderness to it. The portion of this dish was large and presentation itself was very pretty. And the Hibachi sandwich was my least favorite because it wasn't any special or bad about it. The food is really good from here, the place is nice and clean, the service is very friendly and attentive, and I will definitely be back here to try more things!",4
Came in during lunch. Pretty busy inside but nice atmosphere has a really nice patio seating area. Got the garlic knots as an appetizer very good! Got the margarita pizza with sausage on it super yummy!,4
All these people care about is getting paid. This is not a review by someone who has only been there once. I have taken 2 dogs and a cat there for years and spent thousands of dollars.  They are condescending and do not communicate with each other.  They are not good at checking previous history of our visits.  I am glad others have had a positive experience but every time I go in there it makes me cringe inside. My wife did not share my opinion and that is why we continued to go there. After today's visit where they were rude to her and accused her of being a bad pet owner she finally agrees with me. We will be switching vets and would not recommend this place to anyone,1
the best tacos i have ever had.  very unique tacos done perfectly.  great service as well.,5
